question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty
20,"A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?",4 liters of salt,Amount of salt = 40% of 10 liters = 0.4 * 10 = 4 liters,"Solve the following math problem: A mixture contains 40% salt. If there are 10 liters of mixture, how much salt is in it?
Answer: To find the amount of salt in the mixture, we need to calculate 40% of 10 liters.
40% of 10 liters = (40/100) * 10 = 4 liters
Therefore, there are 4 liters of salt in the mixture.
The answer is 4 liters.",Mixture Problems,Medium
21,"John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?",3.33 hours,"John's rate = 1/5 rooms/hour, Mary's rate = 1/10 rooms/hour
Total rate = 1/5 + 1/10 = 3/10 rooms/hour
Time = 1/(3/10) = 10/3 = 3.33 hours","Solve the following math problem: John paints a room in 5 hours, and Mary paints the same room in 10 hours. How long will it take them to paint the room together?
Answer: Let's assume that the time it takes for John and Mary to paint the room together is represented by x. We can set up the equation:
1/5 + 1/10 = 1/x
To solve for x, we can find the least common multiple (LCM) of 5 and 10, which is 10. Then, we can multiply both sides of the equation by 10x to eliminate the denominators:
2x + x = 10
Combining like terms, we get:
3x = 10
Dividing both sides of the equation by 3, we find:
x = 10/3
Therefore",Work Problems,Medium
22,"In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?",6 years old,"Let Sarah's current age = x
In 4 years, Sarah's age = x + 4
2 years ago, Sarah's age = x - 2
x + 4 = 3(x - 2)
x + 4 = 3x - 6
x = 6","Solve the following math problem: In 4 years, Sarah will be three times as old as she was 2 years ago. How old is Sarah now?
Answer: Let's assume Sarah's current age is x.
According to the given information, in 4 years, Sarah will be x + 4 years old.
Two years ago, Sarah was x - 2 years old.
So, in 4 years, Sarah will be three times as old as she was 2 years ago, which can be expressed as:
x + 4 = 3(x - 2)
Simplifying the equation:
x + 4 = 3x - 6
Subtracting x from both sides:
4 = 2x - 6
Adding 6 to both sides:
10 = 2x
Dividing both",Age Problems (Complex),Medium
23,"Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?","$2,318.54","A = P(1 + r/n)^(nt)
A = 2000(1 + 0.03/1)^(1*5)
A = 2000(1.03)^5 = 2000 * 1.159274 = $2,318.54","Solve the following math problem: Anna invests $2,000 at 3% interest, compounded annually. How much money will she have after 5 years?
Answer: To solve this problem, we can use the compound interest formula: A = P(1 + r/n)^(nt), where A is the final amount, P is the principal amount, r is the interest rate, n is the number of times interest is compounded per year, and t is the number of years.

Given:
P = $2,000
r = 3% = 0.03
n = 1 (compounded annually)
t = 5 years

Substituting the given values into the compound interest formula, we have:
A = $2,000(1 + 0.03/1)^(1*",Investment Problems,Medium
24,"A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?",8 meters by 12 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 40
Area = l * w = 96
Solve system of equations: l + w = 20, lw = 96","Solve the following math problem: A rectangular field has a perimeter of 40 meters, and its area is 96 square meters. What are the dimensions of the field?
Answer: Let L be the length of the rectangular field and W be the width. We know that the perimeter is 40 meters, so we can write the equation:
2L + 2W = 40
Simplifying, we get:
L + W = 20
We also know that the area of the field is 96 square meters, so we can write another equation:
LW = 96
We can solve for one of the variables in terms of the other by rearranging the second equation:
L = 96/W
Substituting this into the first equation, we get:
96/W + W = 20
Mult",Quadratic Equations,Hard
25,"A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?",80 Product A and 20 Product B,"Let number of Product A = x, number of Product B = y
x + y = 100
15x + 25y = 2000
Solve system of equations","Solve the following math problem: A factory sells two types of products. Product A costs $15, and Product B costs $25. If 100 products are sold for a total of $2,000, how many of each product were sold?
Answer: Let's assume that x represents the number of Product A sold and y represents the number of Product B sold. We can create a system of equations based on the given information:
x + y = 100 (since a total of 100 products were sold)
15x + 25y = 2000 (since the total cost of the products sold is $2,000)
To solve for x and y, we can use the elimination method. Multiplying the first equation by 15, we get:
15x + 15y = 1500
15x + 25y = 2000",Systems of Equations,Hard
26,"The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?",30 dogs and 45 cats,"Let dogs = 2x and cats = 3x
Total animals = 2x + 3x = 75
5x = 75
x = 15
Dogs = 2 * 15 = 30, Cats = 3 * 15 = 45","Solve the following math problem: The ratio of dogs to cats in a shelter is 2:3. If there are 75 animals in total, how many are dogs and how many are cats?
Answer: Let's start by setting up the ratio as 2x and 3x, where x is a constant. This means that the total number of animals is 2x + 3x = 5x, which we know is equal to 75. Solving for x, we get x = 15. 

Now we can find the number of dogs and cats by multiplying x by their respective ratios. The number of dogs is 2x, which is 2(15) = 30. The number of cats is 3x, which is 3(15) = 45. 

Therefore, there are 30 dogs and 4",Ratio and Proportion Problems,Hard
27,"Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?",2.67 hours,"Rate of Machine C = 1/8 job/hour, Rate of Machine D = 1/12 job/hour
Together for 3 hours: (1/8 + 1/12) * 3 = 5/24 job completed
Remaining job = 1 - 5/24 = 19/24
Time for Machine C to finish = (19/24) / (1/8) = 19/3 = 6.33 hours","Solve the following math problem: Machine C can finish a task in 8 hours, and Machine D can finish the same task in 12 hours. If they work together for 3 hours, how long will Machine C take to complete the rest of the task alone?
Answer: Let's first find the work rate of each machine. Machine C can finish 1/8 of the task in one hour, and Machine D can finish 1/12 of the task in one hour. Working together, they can finish 1/8 + 1/12 = 5/24 of the task in one hour.
After working together for 3 hours, they have finished 3 * 5/24 = 5/8 of the task. This means that 3/8 of the task is left to be completed.
Now, Machine C will have to complete the remaining 3/8 of the task alone. So, its work rate will be 1/8,",Work Problems (Complex),Hard
28,"A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?",$480,"Selling price = Cost price * (1 + Profit %)
600 = Cost price * 1.25
Cost price = 600 / 1.25 = $480","Solve the following math problem: A store sells a TV for $600, making a 25% profit. What was the cost price of the TV?
Answer: To find the cost price of the TV, we need to subtract the profit from the selling price.
Profit = 25% of the cost price = 0.25 * cost price
Selling price = Cost price + Profit
$600 = Cost price + 0.25 * cost price
Combining like terms, we have:
$600 = 1.25 * cost price
To isolate the cost price, we divide both sides of the equation by 1.25:
$\frac{$600}{1.25} = \frac{1.25 * cost price}{1.25}$
$480 =",Profit and Loss,Hard
29,Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?,23 oranges,"Day 1: 8 + 5 = 13 oranges
Day 2: 13 + 5 = 18 oranges
Day 3: 18 + 5 = 23 oranges","Solve the following math problem: Jessica has 8 oranges. She buys 5 more every day. How many oranges will she have after 3 days?
Answer: On the first day, Jessica will have 8 + 5 = 13 oranges.
On the second day, she will have 13 + 5 = 18 oranges.
On the third day, she will have 18 + 5 = 23 oranges.
Therefore, after 3 days, Jessica will have 23 oranges. The answer is 23.",Simple Equations,Easy
30,A pencil costs $1.50. How much will 8 pencils cost?,$12,8 pencils * $1.50/pencil = $12,"Solve the following math problem: A pencil costs $1.50. How much will 8 pencils cost?
Answer: To find the cost of 8 pencils, we need to multiply the cost of one pencil by 8. 
$1.50 x 8 = $12.00
Therefore, the cost of 8 pencils is $12.00.",Basic Arithmetic,Easy
31,"Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?",20 years old,Adam = 2 * Ben's age = 2 * 10 = 20 years old,"Solve the following math problem: Adam is twice as old as Ben. If Ben is 10 years old, how old is Adam?
Answer: Let's represent Adam's age as A and Ben's age as B. We are given that Adam is twice as old as Ben, so we can write the equation A = 2B. We are also given that Ben is 10 years old, so we substitute B with 10 in the equation: A = 2(10). Simplifying, we get A = 20. Therefore, Adam is 20 years old.
The answer is Adam is 20 years old.",Age Problems (Basic),Easy
32,A truck travels at 60 miles per hour. How far will it travel in 5 hours?,300 miles,Distance = Speed * Time = 60 miles/hour * 5 hours = 300 miles,"Solve the following math problem: A truck travels at 60 miles per hour. How far will it travel in 5 hours?
Answer: To find the distance, we can use the formula distance = speed x time. Plugging in the given values, we get distance = 60 mph x 5 hours = 300 miles. Therefore, the truck will travel 300 miles in 5 hours.",Distance-Rate-Time,Easy
33,John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?,John has 80 marbles and Anna has 40 marbles,"Let Anna's marbles = x
John's marbles = 2x
x + 2x = 120
3x = 120
x = 40
John = 80, Anna = 40","Solve the following math problem: John and Anna have 120 marbles in total. John has twice as many marbles as Anna. How many marbles does each have?
Answer: Let's assume that Anna has x marbles. Then, John has 2x marbles. Therefore, the total number of marbles is x + 2x = 3x. We know that the total number of marbles is 120, so 3x = 120. Solving for x, we get x = 40. Thus, Anna has 40 marbles and John has 2*40 = 80 marbles.
The answer is Anna has 40 marbles and John has 80 marbles.",Equations with Two Variables,Medium
34,"A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?",3 liters of alcohol,Amount of alcohol = 25% of 12 liters = 0.25 * 12 = 3 liters,"Solve the following math problem: A solution contains 25% alcohol. If there are 12 liters of solution, how much alcohol is in the solution?
Answer: To solve this problem, we need to find the amount of alcohol in the solution. We know that the solution contains 25% alcohol, which means that for every 100 parts of the solution, 25 parts are alcohol.
To find the amount of alcohol in 12 liters of solution, we can set up a proportion:
25/100 = x/12
Cross-multiplying, we get:
100x = 25 * 12
Simplifying, we get:
100x = 300
Dividing both sides by 100, we get:
x = 3
Therefore, there",Mixture Problems,Medium
35,Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?,13.33 hours,"Rate of Worker A = 1/8 jobs/hour
Let Worker B's rate = 1/x jobs/hour
Total rate = 1/5 jobs/hour
1/8 + 1/x = 1/5
Solve for x = 13.33 hours","Solve the following math problem: Two workers can complete a task in 5 hours working together. Worker A alone can complete it in 8 hours. How long will Worker B take to complete the task alone?
Answer: Let's assume that Worker B takes x hours to complete the task alone.
In one hour, Worker A completes 1/8 of the task, and Worker B completes 1/x of the task.
Together, in one hour, they complete 1/8 + 1/x of the task.
According to the given information, in 5 hours, they complete the whole task, which is 1.
So, we can set up the equation:
5 * (1/8 + 1/x) = 1
Multiplying both sides by 8x, we get:
5x + 40 = 8x
Subtract",Work Problems,Medium
36,"In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?",8 years old,"Let Mike's current age = x
In 6 years, Mike's age = x + 6
2 years ago, Mike's age = x - 2
x + 6 = 2(x - 2)
x + 6 = 2x - 4
x = 8","Solve the following math problem: In 6 years, Mike will be twice as old as he was 2 years ago. How old is Mike now?
Answer: Let's assume Mike's current age is x.
According to the problem, in 6 years, Mike will be x + 6 years old.
Also, 2 years ago, Mike was x - 2 years old.
According to the problem, in 6 years, Mike will be twice as old as he was 2 years ago. So, we can set up the equation:
x + 6 = 2(x - 2)
Simplifying the equation:
x + 6 = 2x - 4
Bringing the x terms to one side and the constants to the other side:
x - 2x = -4 - 6",Age Problems (Complex),Medium
37,"Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?","$1,622.40","A = P(1 + r/n)^(nt)
A = 1500(1 + 0.04/1)^(1*2)
A = 1500(1.04)^2 = 1500 * 1.0816 = $1,622.40","Solve the following math problem: Henry invests $1,500 at 4% interest, compounded annually. How much money will he have after 2 years?
Answer: To solve this problem, we can use the formula for compound interest:

A = P(1 + r/n)^(nt)

Where:
A = the final amount
P = the principal amount
r = the interest rate (expressed as a decimal)
n = the number of times the interest is compounded per year
t = the number of years

In this case, the principal amount (P) is $1,500, the interest rate (r) is 4% or 0.04, the compounding frequency (n) is 1 (compounded annually), and the time period (t) is 2 years.

Plugging these",Investment Problems,Medium
38,"A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?",10 meters by 15 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 50
Area = l * w = 150
Solve system of equations: l + w = 25, lw = 150","Solve the following math problem: A rectangular room has a perimeter of 50 meters, and its area is 150 square meters. What are the dimensions of the room?
Answer: Let the length of the room be L meters and the width be W meters. We know that the perimeter of a rectangle is given by the formula P = 2L + 2W, and the area is given by the formula A = L * W.

Given the perimeter of the room is 50 meters, we have:
2L + 2W = 50

Given the area of the room is 150 square meters, we have:
L * W = 150

Now, we can solve these two equations simultaneously. First, we can solve the perimeter equation for L:
2L = 50 - 2W
L",Quadratic Equations,Hard
39,"A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?",35 Chair A and 25 Chair B,"Let number of Chair A = x, number of Chair B = y
x + y = 60
30x + 50y = 2100
Solve system of equations","Solve the following math problem: A company sells two types of chairs. Chair A costs $30, and Chair B costs $50. If 60 chairs are sold for a total of $2,100, how many of each type were sold?
Answer: Let $x$ be the number of Chair A sold and $y$ be the number of Chair B sold. We have the following system of equations:
\begin{align*}
x+y &= 60 \\
30x+50y &= 2100 \\
\end{align*}
Multiplying the first equation by 30, we get $30x+30y=1800$. Subtracting this from the second equation, we get $20y=300$, which implies $y=15$. Substituting this into the first equation, we get $x=45$. Therefore, 45 Chair A and",Systems of Equations,Hard
40,"The ratio of boys to girls in a class is 4:5. If there are 90 students in total, how many are boys and how many are girls?",40 boys and 50 girls,"Let boys = 4x and girls = 5x
Total students = 4x + 5x = 90
9x = 90
x = 10
Boys = 4 * 10 = 40, Girls = 5 * 10 = 50","Solve the following math problem: The ratio of boys to girls in a class is 4:5. If there are 90 students in total, how many are boys and how many are girls?
Answer: Let's call the number of boys in the class 4x and the number of girls 5x, since the ratio of boys to girls is 4:5. We know that the total number of students is 90, so we can set up an equation:

4x + 5x = 90

Combining like terms, we get:

9x = 90

Dividing both sides by 9, we get:

x = 10

So there are 4x boys and 5x girls in the class:

4x = 4(10) = 40 boys
5x = 5(1",Ratio and Proportion Problems,Hard
41,"Machine X can complete a task in 9 hours, and Machine Y can complete it in 12 hours. After working together for 4 hours, Machine X breaks down. How long will Machine Y take to finish the task?",5.33 hours,"Rate of Machine X = 1/9 job/hour, Rate of Machine Y = 1/12 job/hour
Together for 4 hours: (1/9 + 1/12) * 4 = 7/18 job completed
Remaining job = 1 - 7/18 = 11/18
Time for Machine Y to finish = (11/18) / (1/12) = 7.33 hours","Solve the following math problem: Machine X can complete a task in 9 hours, and Machine Y can complete it in 12 hours. After working together for 4 hours, Machine X breaks down. How long will Machine Y take to finish the task?
Answer: Let's first find the work rate of each machine. Machine X can do $\frac{1}{9}$ of the task in an hour, and Machine Y can do $\frac{1}{12}$ of the task in an hour. Working together, they can do $\frac{1}{9}+\frac{1}{12}=\frac{7}{36}$ of the task in an hour. After working together for 4 hours, they have done $\frac{7}{36}\cdot4=\frac{7}{9}$ of the task. The remaining part of the task is $\frac{2}{9}$. Machine Y can do $\frac{1}{12}$ of the task in an hour, so",Work Problems (Complex),Hard
42,"A shopkeeper sells an item for $150, making a 10% profit. What was the cost price of the item?",$136.36,"Selling price = Cost price * (1 + Profit %)
150 = Cost price * 1.1
Cost price = 150 / 1.1 = $136.36","Solve the following math problem: A shopkeeper sells an item for $150, making a 10% profit. What was the cost price of the item?
Answer: Let x be the cost price of the item.
The selling price of the item is $150, which is equal to 110% of the cost price (since the shopkeeper made a 10% profit).
So, we can write the equation: 1.1x = 150
Divide both sides of the equation by 1.1:
x = 150 / 1.1
x = 136.36 (rounded to 2 decimal places)
Therefore, the cost price of the item was $136.36.
The answer is $136.36.",Profit and Loss,Hard
43,Mike starts with 10 pencils. He gives away 2 pencils each day. How many pencils will he have after 5 days?,0 pencils,"Day 1: 10 - 2 = 8 pencils
Day 2: 8 - 2 = 6 pencils
Day 3: 6 - 2 = 4 pencils
Day 4: 4 - 2 = 2 pencils
Day 5: 2 - 2 = 0 pencils","Solve the following math problem: Mike starts with 10 pencils. He gives away 2 pencils each day. How many pencils will he have after 5 days?
Answer: Mike gives away 2 pencils each day, so he will have 10 - (2 * 5) = 10 - 10 = 0 pencils after 5 days.
The answer is 0.",Simple Equations,Easy
